Date,Close,LINEAR_REGRESSION,KNN,LSTM,ARIMA
2019-11-20,25.25,26.98,26.9860002,26.982248,[25.80330308]
2019-11-21,24.83,27.360001,27.3520002,26.858107,[25.29022752]
2019-11-22,25.4,27.040001,27.0280002,26.68164,[24.87179748]
2019-11-25,25.629998999999998,27.42,27.4220006,26.547337,[25.38761779]
2019-11-26,25.549999,27.639999,27.621999800000005,26.468643,[25.60090148]
2019-11-27,26.110001,28.399999999999995,28.397999799999997,26.419796,[25.55150063]
2019-11-29,26.030001000000002,28.059998999999994,28.0819996,26.445286,[26.09458411]
2019-12-02,25.049999,28.389998999999996,28.3959996,26.500801,[26.03698189]
2019-12-03,24.860001,27.43,27.4220006,26.475546,[25.12584271]
2019-12-04,24.629998999999998,28.219998999999994,28.220000200000005,26.392685,[24.91552169]
2019-12-05,25.030001000000002,28.599999999999998,28.6179998,26.264208,[24.6588397]
2019-12-06,25.450001,27.59,27.585999800000003,26.160376,[24.99739288]
2019-12-09,25.280001000000002,27.940001000000002,27.978000399999996,26.11815,[25.42413608]
2019-12-10,24.74,28.389998999999996,28.3959996,26.096909,[25.28706047]
2019-12-11,24.65,28.639998999999996,28.6379998,26.038847,[24.79748239]
2019-12-12,24.76,28.540000999999997,28.518,25.958504,[24.68386074]
2019-12-13,25.4,28.229999999999997,28.220000199999998,25.883549,[24.76068457]
2019-12-16,25.190001000000002,28.959998999999996,28.9620004,25.878263,[25.35270971]
2019-12-17,24.68,29.089999999999996,29.0779996,25.890846,[25.200291]
2019-12-18,23.9,30.799998999999996,30.799999000000003,25.864779,[24.72807838]
2019-12-19,23.780001000000002,31.969998999999994,31.9740002,25.747528,[23.98730824]
2019-12-20,23.82,31.099999999999998,31.120000000000005,25.580801,[23.81011536]
2019-12-23,24.35,30.860000999999997,30.862000000000002,25.405432,[23.82414002]
2019-12-24,24.530001000000002,31.610000999999997,31.632000200000004,25.290253,[24.30888235]
2019-12-26,23.879998999999998,30.179999999999996,30.176000400000003,25.234365,[24.5152513]
2019-12-27,23.59,29.839999999999996,29.853999799999997,25.155218,[23.92644823]
2019-12-30,23.08,29.399999999999995,29.396000000000004,25.044472,[23.64058534]
2019-12-31,22.9,28.950000999999997,28.9620004,24.87899,[23.13533219]
